+------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------+
| Name                               | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                              |
+------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------+
| absinthe                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| advanced_alloy                     |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenadvancedalloy                   |
| aerotheum                          |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                  |
| alchemical_redstone                |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:alchemical_redstone                         |
| alugentum                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alugentum                       |
| alumina                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alumina                         |
| aluminium                          |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenaluminium                       |
| aluminum                           |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:aluminum                                    |
| aluminum_nak                       |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| aluminum_nak_hot                   |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| americium_241                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| americium_242                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| americium_243                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| ammonia                            |    1500 |         300 |      1000 |          0 | COMMON   |     false | immersiveintelligence:ammonia                      |
| antideuterium                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | qmd:fluid_antideuterium                            |
| antihelium                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | qmd:fluid_antihelium                               |
| antihelium3                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | qmd:fluid_antihelium3                              |
| antihydrogen                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | qmd:fluid_antihydrogen                             |
| antimony                           |    2000 |         900 |      6000 |         15 | COMMON   |     false | -                                                  |
| antitritium                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | qmd:fluid_antitritium                              |
| argon                              |     -10 |         300 |        40 |          0 | COMMON   |      true | qmd:fluid_argon                                    |
| arsenic                            |     -10 |        1000 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_arsenic                         |
| arsenic_nak                        |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| arsenic_nak_hot                    |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| ashen_stone                        |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:ashen_stone                         |
| baratol                            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| barium_nitrate_solution            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| bas                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bas                             |
| bef2                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bef2                            |
| berkelium_247                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| berkelium_248                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| beryllium                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_beryllium                       |
| betterquesting.placeholder         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| biocrude                           |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                                  |
| biodiesel                          |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                |
| biofuel                            |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:biofuel                        |
| boiling_beetroot_soup              |    1000 |         500 |      1000 |          0 | COMMON   |     false | -                                                  |
| boiling_potato_juice               |    1000 |         500 |      1000 |          0 | COMMON   |     false | -                                                  |
| boiling_wormwood                   |    1000 |         500 |      1000 |          0 | COMMON   |     false | -                                                  |
| boiling_wort                       |    1000 |         500 |      1000 |          0 | COMMON   |     false | -                                                  |
| borax_solution                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_borax_solution                  |
| boric_acid                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boric_acid                      |
| boron                              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| boron_10                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron_10                        |
| boron_11                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron_11                        |
| boron_nak                          |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| boron_nak_hot                      |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| boron_nitride_solution             |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boron_nitride_solution          |
| brass                              |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenbrass                           |
| brine                              |    1000 |         300 |      1500 |          0 | COMMON   |     false | -                                                  |
| bronze                             |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:bronze                                      |
| butane                             |       2 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:butane                              |
| butene                             |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:butene                              |
| caesium_137                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_caesium_137                     |
| calcium                            |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltencalcium                         |
