"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"/dank/null","danknull:dank_null_0",5502,0,"false","/dank/null/",""
"/dank/null","danknull:dank_null_1",5503,0,"false","/dank/null/MK II",""
"/dank/null","danknull:dank_null_2",5504,0,"false","/dank/null/MK III",""
"/dank/null","danknull:dank_null_3",5505,0,"false","/dank/null/MK IV",""
"/dank/null","danknull:dank_null_4",5506,0,"false","/dank/null/MK V",""
"/dank/null","danknull:dank_null_5",5507,0,"false","/dank/null/MK VI",""
"/dank/null","danknull:dank_null_6",5508,0,"false","/dank/null/Creative",""
"/dank/null","danknull:dank_null_panel_0",5509,0,"false","RedStone /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_1",5510,0,"false","Lapis /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_2",5511,0,"false","Iron /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_3",5512,0,"false","Gold /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_4",5513,0,"false","Diamond /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_5",5514,0,"false","Emerald /dank/null Panel",""
"/dank/null","danknull:danknull_dock",5515,0,"false","/dank/null Docking Station",""
"A Little Extra Tiles","alet:jump_rod",7448,0,"false","item.jump_rod.name",""
"A Little Extra Tiles","alet:little_manual",7449,0,"false","Little Manual (WIP)",""
"A Little Extra Tiles","alet:little_rope",7560,0,"false","Little Rope (WIP)",""
"A Little Extra Tiles","alet:little_scissor",7498,0,"false","Little Scissor (WIP)",""
"A Little Extra Tiles","alet:smoothacaciaplank",7522,0,"false","Borderless Acacia Planks",""
"A Little Extra Tiles","alet:smoothbirchplank",6305,0,"false","Borderless Birch Planks",""
"A Little Extra Tiles","alet:smoothbrick",7483,0,"false","Borderless Brick",""
"A Little Extra Tiles","alet:smoothdarkoakplank",7569,0,"false","Borderless Dark Oak Planks",""
"A Little Extra Tiles","alet:smoothgroutbrick",7544,0,"false","Borderless Brick Grout",""
"A Little Extra Tiles","alet:smoothjungleplank",7380,0,"false","Borderless Jungle Planks",""
"A Little Extra Tiles","alet:smoothoakplank",7440,0,"false","Borderless Oak Planks",""
"A Little Extra Tiles","alet:smoothspruceplank",7217,0,"false","Borderless Spruce Planks",""
"A Little Extra Tiles","alet:tapemeasure",7518,0,"false","Tape Measure (WIP)",""
"A Little Extra Tiles","alet:transparent",7416,0,"false","tile.transparent.name",""
"AE Net Vis Tool","aenetvistool:net_visualizer",4120,0,"false","Network Visualization Tool",""
"AE2 Fluid Crafting","ae2fc:burette",6419,0,"false","Precision Burette",""
"AE2 Fluid Crafting","ae2fc:dense_craft_encoded_pattern",6427,0,"false","Encoded Pattern",""
"AE2 Fluid Crafting","ae2fc:dense_encoded_pattern",6426,0,"false","Encoded Pattern",""
"AE2 Fluid Crafting","ae2fc:dual_interface",6420,0,"false","ME Dual Interface",""
"AE2 Fluid Crafting","ae2fc:fluid_assembler",6422,0,"false","ME Fluid Assembler",""
"AE2 Fluid Crafting","ae2fc:fluid_discretizer",6414,0,"false","ME Fluid Discretizer",""
"AE2 Fluid Crafting","ae2fc:fluid_drop",6424,0,"false","Drop of ???",""
"AE2 Fluid Crafting","ae2fc:fluid_level_maintainer",6421,0,"false","ME Fluid Level Maintainer",""
"AE2 Fluid Crafting","ae2fc:fluid_packet",6425,0,"false","Fluid Packet",""
"AE2 Fluid Crafting","ae2fc:fluid_packet_decoder",6416,0,"false","ME Fluid Packet Decoder",""
"AE2 Fluid Crafting","ae2fc:fluid_pattern_encoder",6415,0,"false","Fluid Pattern Encoder",""
"AE2 Fluid Crafting","ae2fc:gas_discretizer",6984,0,"false","ME Gas Discretizer",""
"AE2 Fluid Crafting","ae2fc:gas_drop",7102,0,"false","Gas Drop of ???",""
"AE2 Fluid Crafting","ae2fc:gas_packet",6977,0,"false","Gas Packet",""
"AE2 Fluid Crafting","ae2fc:ingredient_buffer",6417,0,"false","Ingredient Buffer",""
"AE2 Fluid Crafting","ae2fc:large_ingredient_buffer",6418,0,"false","Large Ingredient Buffer",""
"AE2 Fluid Crafting","ae2fc:large_item_encoded_pattern",6431,0,"false","Encoded Pattern",""
"AE2 Fluid Crafting","ae2fc:part_dual_interface",6428,0,"false","ME Dual Interface",""
"AE2 Fluid Crafting","ae2fc:part_fluid_pattern_ex_terminal",6430,0,"false","ME Extended Processing Fluid Pattern Terminal",""
"AE2 Fluid Crafting","ae2fc:part_fluid_pattern_terminal",6429,0,"false","ME Fluid Pattern Terminal",""
"AE2 Fluid Crafting","ae2fc:part_trio_interface",6945,0,"false","ME Trio Interface",""
"AE2 Fluid Crafting","ae2fc:trio_interface",6960,0,"false","ME Trio Interface",""
"AE2 Fluid Crafting","ae2fc:ultimate_encoder",6423,0,"false","ME Ultimate Encoder",""
"AE2 Fluid Crafting","ae2fc:wireless_fluid_pattern_terminal",6432,0,"false","Wireless Fluid Pattern Terminal",""
"AE2 Unofficial Extended Life","appliedenergistics2:biometric_card",5060,0,"false","Biometric Card",""
"AE2 Unofficial Extended Life","appliedenergistics2:cable_bus",5028,0,"false","AE2 Cable and/or Bus",""
