"Registry name","Meta/dmg","Display name","Ore Dict Keys","NBT"
"appliedenergistics2:certus_quartz_cutting_knife",0,"Certus Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:certus_quartz_hoe",32767,"(WILDCARD)","toolHoe",""
"appliedenergistics2:certus_quartz_wrench",0,"Certus Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:charged_quartz_ore",0,"Charged Certus Quartz Ore","oreCertusQuartz,oreChargedCertusQuartz",""
"appliedenergistics2:material",0,"Certus Quartz Crystal","crystalCertusQuartz,gemCertusQuartz",""
"appliedenergistics2:material",1,"Charged Certus Quartz Crystal","gemChargedCertusQuartz",""
"appliedenergistics2:material",4,"Flour","dustWheat",""
"appliedenergistics2:material",7,"Fluix Crystal","crystalFluix,gemFluix",""
"appliedenergistics2:material",9,"Fluix Pearl","pearlFluix",""
"appliedenergistics2:material",10,"Pure Certus Quartz Crystal","crystalPureCertusQuartz",""
"appliedenergistics2:material",11,"Pure Nether Quartz Crystal","crystalPureNetherQuartz",""
"appliedenergistics2:material",12,"Pure Fluix Crystal","crystalPureFluix",""
"appliedenergistics2:material",46,"Ender Dust","dustEnder,dustEnderPearl",""
"appliedenergistics2:nether_quartz_cutting_knife",0,"Nether Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:nether_quartz_hoe",32767,"(WILDCARD)","toolHoe",""
"appliedenergistics2:nether_quartz_wrench",0,"Nether Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:part",160,"Bright Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",180,"Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",200,"Dark Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:quartz_ore",0,"Certus Quartz Ore","oreCertusQuartz",""
"bhc:blue_heart",0,"Blue Heart","itemHeart",""
"bhc:green_heart",0,"Green Heart","itemHeart",""
"bhc:red_heart",0,"Red Heart","itemHeart",""
"bhc:wither_bone",0,"Wither Bone","boneWithered",""
"bhc:yellow_heart",0,"Yellow Heart","itemHeart",""
"chisel:andesite",0,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",1,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",2,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",3,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",4,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",5,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",6,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",7,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",8,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",9,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",10,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",11,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",12,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",13,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",14,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",15,"Andesite","stoneAndesite,stoneAndesitePolished",""
