"OreDict Key","Registry name","Meta/dmg","Display name","NBT"
"actuator","nuclearcraft:part",9,"Linear Actuator",""
"alloyAdvanced","mekanism:enrichedalloy",0,"Enriched Alloy",""
"alloyBasic","minecraft:redstone",0,"Redstone",""
"alloyElite","mekanism:reinforcedalloy",0,"Reinforced Alloy",""
"alloyUltimate","mekanism:atomicalloy",0,"Atomic Alloy",""
"ballConductiveIron","enderio:item_alloy_ball",4,"Conductive Iron Grinding Ball",""
"ballConstructionAlloy","enderio:item_alloy_ball",9,"Iron Alloy Grinding Ball",""
"ballCrudeSteel","enderio:item_alloy_endergy_ball",0,"Crude Steel Grinding Ball",""
"ballCrystallineAlloy","enderio:item_alloy_endergy_ball",1,"Crystalline Alloy Grinding Ball",""
"ballCrystallinePinkSlime","enderio:item_alloy_endergy_ball",4,"Crystalline Pink Slime Grinding Ball",""
"ballDarkSteel","enderio:item_alloy_ball",6,"Dark Steel Grinding Ball",""
"ballElectricalSteel","enderio:item_alloy_ball",0,"Electrical Steel Grinding Ball",""
"ballEndSteel","enderio:item_alloy_ball",8,"End Steel Grinding Ball",""
"ballEnergeticAlloy","enderio:item_alloy_ball",1,"Energetic Alloy Grinding Ball",""
"ballEnergeticSilver","enderio:item_alloy_endergy_ball",5,"Energetic Silver Grinding Ball",""
"ballMelodicAlloy","enderio:item_alloy_endergy_ball",2,"Melodic Alloy Grinding Ball",""
"ballPulsatingIron","enderio:item_alloy_ball",5,"Pulsating Iron Grinding Ball",""
"ballRedstoneAlloy","enderio:item_alloy_ball",3,"Redstone Alloy Grinding Ball",""
"ballSoularium","enderio:item_alloy_ball",7,"Soularium Grinding Ball",""
"ballStellarAlloy","enderio:item_alloy_endergy_ball",3,"Stellar Alloy Grinding Ball",""
"ballVibrantAlloy","enderio:item_alloy_ball",2,"Vibrant Alloy Grinding Ball",""
"ballVividAlloy","enderio:item_alloy_endergy_ball",6,"Vivid Alloy Grinding Ball",""
"barsIron","minecraft:iron_bars",0,"Iron Bars",""
"battery","mekanism:energytablet",0,"Energy Tablet",""
"bioplastic","nuclearcraft:part",6,"Bioplastic",""
"blockAdvancedAlloy","jaopca:block.advanced_alloy",0,"Block of Advanced Alloy",""
"blockAluminium","nuclearcraft:ingot_block",12,"Aluminum Block",""
"blockAluminium","techreborn:storage",1,"Block of Aluminium",""
"blockAluminum","chisel:blockaluminum",0,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",1,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",2,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",3,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",4,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",5,"Block of Aluminum",""
"blockAluminum","chisel:blockaluminum",6,"Block of Aluminum",""
"blockAluminum","nuclearcraft:ingot_block",12,"Aluminum Block",""
"blockAluminum","techreborn:storage",1,"Block of Aluminium",""
"blockAmericium243","nuclearcraft:fertile_isotope",3,"Americium-243 Block",""
"blockBerkelium247","nuclearcraft:fertile_isotope",5,"Berkelium-247 Block",""
"blockBeryllium","nuclearcraft:ingot_block",9,"Beryllium Block",""
"blockBoron","nuclearcraft:ingot_block",5,"Boron Block",""
"blockBoronArsenide","jaopca:block.boron_arsenide",0,"Block of Boron Arsenide",""
"blockBoronNitride","jaopca:block.boron_nitride",0,"Block of Boron Nitride",""
"blockBrass","techreborn:storage",5,"Block of Brass",""
"blockBronze","chisel:blockbronze",0,"Block of Bronze",""
"blockBronze","chisel:blockbronze",1,"Block of Bronze",""
"blockBronze","chisel:blockbronze",2,"Block of Bronze",""
"blockBronze","chisel:blockbronze",3,"Block of Bronze",""
"blockBronze","chisel:blockbronze",4,"Block of Bronze",""
"blockBronze","chisel:blockbronze",5,"Block of Bronze",""
"blockBronze","chisel:blockbronze",6,"Block of Bronze",""
"blockBronze","mekanism:basicblock",1,"Bronze Block",""
"blockBronze","techreborn:storage",14,"Block of Bronze",""
"blockCactus","minecraft:cactus",0,"Cactus",""
"blockCalifornium252","nuclearcraft:fertile_isotope",6,"Californium-252 Block",""
